feature,importance
macro_lag1_GDPgrowth,0.09848765365731733
macro_lag1_Vol,0.08228603303439425
macro_lag1_CPIgrowth,0.054611983915539127
pricedelay,0.03473356302642608
ROIC,0.032176357456308056
SG,0.030962594882618828
chmom,0.030949125534628284
TBI,0.028318151519586034
B_Dn,0.027903653687566393
beta,0.025522094947180853
ROA,0.02497348980856124
RNA,0.02412986572804268
TG,0.024112990542692943
ROE,0.02330056746515199
B_HS,0.023215777054717897
PACC,0.018293368501109672
dolvol,0.017098079874825832
EBIT,0.01664243982340876
B_FP,0.014695890067220014
NCF,0.013079912114158994
IVC,0.01292926788123566
OCFP,0.01252416388419538
betasq,0.012481086042508627
mom6m,0.0122799562886041
IA,0.012173218112002096
Z,0.011291075545821263
CINVEST,0.011260444449972559
PY,0.011212621810541543
mom1m,0.011115968499168538
CAPXG,0.011063540276234672
prc,0.010710957643520745
dPIA,0.010697804039868164
CFP,0.010639392527591714
CFOA,0.01018292630904268
DA,0.009509946638188346
volt,0.009075860750012014
mom12m,0.009056177466443788
EY,0.00859313834791308
mv,0.00793877406447361
size,0.007746777195518252
maxret,0.007537479805248582
EP,0.007254318805676893
mom36m,0.007165803627125237
rev1,0.007038868482971882
retvol,0.007033130501758961
DER,0.006890242797816747
B_FF,0.006850130999105624
EPS,0.0064556130179754005
idiovol,0.006412836138091308
B_Dim,0.005404127015021218
NOA,0.005276271635008178
ACC,0.005197053702267034
age,0.0051550549341428465
BM,0.004810487327456902
QR,0.00473798910901027
CHTX,0.004660038827752357
DLME,0.004639490132235724
CR,0.004108051276670243
CEPS,0.004097407375063126
GP,0.003941322001464832
QRG,0.0038937057004321705
std_dolvol,0.003846433879499085
CTO,0.0035903540748744934
GM,0.003478813307083493
CTA,0.0034127606176373787
CRG,0.0034031375447092027
SP,0.003195767825504719
ATO,0.0025366191240837796
