model,split,accuracy,balanced_accuracy,auc,precision,recall,f1,threshold,rows
rf_depth8_leaf50,valid,0.4670256401600189,0.5,0.4581720012119726,0.4670256401600189,1.0,0.6366973110423306,0.05,59243
rf_depth12_leaf30,valid,0.4670256401600189,0.5,0.4506765916097567,0.4670256401600189,1.0,0.6366973110423306,0.05,59243
rf_depth16_leaf20,valid,0.4956197356649731,0.5019572905566981,0.46803235078617395,0.4686606055456425,0.5980555153968483,0.5255101230647082,0.49,59243
xgb_depth3_lr005_best250,valid,0.4670593994227166,0.5000316706254948,0.43031722707808717,0.467041407133573,1.0,0.6367119630878275,0.15,59243
xgb_depth4_lr003_best165,valid,0.4670256401600189,0.5,0.4226993553583144,0.4670256401600189,1.0,0.6366973110423306,0.05,59243
xgb_depth5_lr003_best1,valid,0.4851374845973364,0.5134425911534928,0.44554633545977973,0.47423448978107496,0.9426413184906751,0.6310122907190554,0.49,59243
rf_depth16_leaf20_selected,valid,0.4956197356649731,0.5019572905566981,0.46803235078617395,0.4686606055456425,0.5980555153968483,0.5255101230647082,0.49,59243
rf_depth16_leaf20_selected,sim,0.5434912335540337,0.5177680187487067,0.5116626012733501,0.4727745487916794,0.29853196832142165,0.36597205777883024,0.49,70382
xgb_depth5_lr003_best1_selected,valid,0.4851374845973364,0.5134425911534928,0.44554633545977973,0.47423448978107496,0.9426413184906751,0.6310122907190554,0.49,59243
xgb_depth5_lr003_best1_selected,sim,0.48330539058281946,0.5267691219798449,0.5170984987495557,0.4565545034566364,0.8972055888223552,0.6051637279596978,0.49,70382
